ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps),Mean Curvature,95% Curvature,Dominant Freq (1/h),Curvature Total Energy,High/Low Freq Ratio
0,52.2008,4.30033,58.0835,6.55064,22.16008380190293,6.298416815843487,0.28422351071175234,0.07832154564845836,0.30203465233313875,0.05109809280786057,3188.84,182956.84843363843,97380.22047439104,3188.84,8739,86.6576597726839,True,8739.0,3188.84,0.0518337,0.0790676,13,27.1815092351731,105.18354024794513,0.002288329519450801,118183599826.13197,0.16145847964908835
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,0,31.482326544717843,120.58107361014662,0.00228310502283105,123376093778.76764,0.10854490316969961
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,162191.0,8759,95.2901871402193,False,,,,,0,30.36850777465218,116.57551798833587,0.023059360730593607,131255726405.3854,0.15060115496925178
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,0,29.150410782609818,110.19858439953505,0.031735159817351595,118243249289.39693,0.12069278018122204
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,0,27.993695285608965,105.88554943967961,0.00228310502283105,119964189913.72621,0.12413977598424843
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,0,27.69564052657262,107.0689390458491,0.00228310502283105,120278175254.00504,0.1252237165216278
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,0,27.016476931347547,100.92617726807333,0.00228310502283105,115999997207.2003,0.12517024876641286
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,0,26.636917054006425,100.37597540820279,0.0005707762557077625,117809846188.70726,0.13247717653078953
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,45332.9,8759,88.14496346226811,False,,,,,0,26.5553365826484,102.30493103770532,0.0005707762557077625,109484909280.31488,0.12140723431448865
9,52.3192,4.3583,59.1149,5.27716,19.069748234750186,6.857539076782571,0.3596030210973787,0.07792242112903795,0.30747159662154167,0.052160145121851485,3697.06,197290.598629267,89281.27383486443,3697.06,7557,84.49093524067506,True,7557.0,3697.06,0.0709069,0.107647,13,26.969305863795373,104.65163897833041,0.00224927229425774,81348617647.66164,0.14594751189874275
10,52.4736,4.40882,59.323,5.16112,18.80837366112404,6.890590370207769,0.36635758595387075,0.07718821457065139,0.3002181759754063,0.051867452185160964,3043.79,187327.93980217737,91961.50954393255,3043.79,7531,83.76841347625258,True,7531.0,3043.79,0.0986206,0.0651803,41,27.03968746614428,106.05828007605845,0.002257036643653744,86000160941.64238,0.20175440761226057
11,52.5756,4.51779,59.4476,5.05038,18.50268828777731,6.892607351945997,0.37251923854217356,0.07639006727268997,0.2882550171167884,0.05198898889358863,3546.1,178638.972633547,91024.53761372245,3546.1,7487,83.54477436814435,True,7487.0,3546.1,0.0654746,0.00615736,69,27.239380493701166,107.72338527235154,0.0022702991452991455,81708784053.17749,0.1908006671504786
12,52.6934,4.51793,59.8193,5.03016,18.40988489571371,7.144286555206197,0.3880679643396124,0.07706924043233362,0.2740568417682726,0.05249978471375538,4754.39,166847.98127322033,82891.10271250458,4754.39,7374,82.70508449868156,True,7374.0,4754.39,0.00274723,0.0119079,13,27.87062688941185,104.37452702339195,0.02752542372881356,90149383018.11954,0.2090340204889964
13,52.8569,4.5853,52.9426,4.65871,0.11443813808602782,0.11284289122492057,0.9860601816161318,0.09980514307736478,0.1339931742095843,0.012527456997786636,2498.19,7729.652558139534,3250.622443706592,2498.19,42,10.28822464841157,True,42.0,2498.19,0.0495645,0.102449,13,17.568897450438097,55.30344298499541,0.023255813953488372,344060.88272856997,0.235385523993461
14,53.0245,4.56854,60.4106,4.86399,17.862106921904388,7.3920067581476125,0.41383733679719265,0.07657569499333283,0.27924942661534685,0.05354136705426384,3754.75,144625.81880638446,78071.38810394269,3754.75,7204,81.1779174466037,True,7204.0,3754.75,0.0444122,0.0228354,13,28.68550739933862,111.05555769000988,0.032199861207494795,90462275020.11995,0.16999060179080205
