ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps),Mean Curvature,95% Curvature,Dominant Freq (1/h),Curvature Total Energy,High/Low Freq Ratio
0,52.2008,4.30033,58.096,6.55742,22.174928085492407,6.312514420427089,0.2846689917590736,0.07824301858704108,0.30203465233313875,0.05108250266533496,1651.54,182543.94901826483,97651.24491243494,1651.54,8759,86.5674951345836,False,,,,,33,27.333879932059272,105.65114448694645,0.00228310502283105,119895956978.7363,0.16529080560386833
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,0,31.482326544717843,120.58107361014662,0.00228310502283105,123376093778.76764,0.10854490316969961
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,162191.0,8759,95.2901871402193,False,,,,,0,30.36850777465218,116.57551798833587,0.023059360730593607,131255726405.3854,0.15060115496925178
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,0,29.150410782609818,110.19858439953505,0.031735159817351595,118243249289.39693,0.12069278018122204
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,0,27.993695285608965,105.88554943967961,0.00228310502283105,119964189913.72621,0.12413977598424843
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,0,27.69564052657262,107.0689390458491,0.00228310502283105,120278175254.00504,0.1252237165216278
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,0,27.016476931347547,100.92617726807333,0.00228310502283105,115999997207.2003,0.12517024876641286
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,0,26.636917054006425,100.37597540820279,0.0005707762557077625,117809846188.70726,0.13247717653078953
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,45332.9,8759,88.14496346226811,False,,,,,0,26.5553365826484,102.30493103770532,0.0005707762557077625,109484909280.31488,0.12140723431448865
9,52.3192,4.3583,58.907,5.58133,19.554973234174916,6.700366498998389,0.3426425809312082,0.07339847793659891,0.30747159662154167,0.05241220179018503,0.0,179688.95879199373,101902.8745915869,0.0,8305,84.36495229432066,True,8305.0,0.0,0.0163375,-0.00895513,748,27.536550032992917,106.40844949960076,0.0022875030098723813,94588656528.96852,0.14965923899845943
10,52.4736,4.40882,59.3889,5.22314,18.921267950644772,6.9630805791976895,0.36800285252344367,0.07649390811300745,0.3002181759754063,0.05183550010870111,0.0,184105.1878456882,94331.46286807768,0.0,7664,83.29404640059168,True,7664.0,0.0,0.0287046,-0.0346585,174,27.271994581449526,106.26670006903748,0.0022178734507501633,88388739333.01941,0.20314652826318946
11,52.5756,4.51779,59.4981,5.26044,18.79120883023011,6.962222006838046,0.3705042112904234,0.0733694483617505,0.2882550171167884,0.05219199604428329,0.0,168508.37107054607,97349.31163365251,0.0,7947,83.05661937432849,True,7947.0,0.0,0.0121224,-0.00131903,483,27.414722473823225,107.05640833722286,0.0039003522898842474,88768334706.454,0.19357022575388813
12,52.6934,4.51793,59.8521,5.09358,18.503974767491755,7.18180747531567,0.3881224204830223,0.07563385271804933,0.2740568417682726,0.05258069895104677,0.0,162575.2827193003,85882.1705491734,0.0,7571,82.00094656282187,True,7571.0,0.0,0.00222732,0.00640836,210,28.74950205553544,108.04366547550185,0.017300581088219757,97664534437.40622,0.20598436811476975
13,52.8569,4.5853,52.9651,4.66979,0.1398899937512558,0.1372800061917219,0.981342571476736,0.10504140557747356,0.1339931742095843,0.014874141101283555,0.0,6283.035327272728,3996.851158554537,0.0,54,11.554385946008068,True,54.0,0.0,0.0510136,0.111331,25,18.968202467459907,54.75391081402261,0.01818181818181818,526602.4646544012,0.2711479795699168
14,53.0245,4.56854,60.4482,4.91107,17.931191537596778,7.431597976942776,0.41445087245656587,0.076312980808832,0.27924942661534685,0.053410045227380305,0.0,143305.95301553907,78907.19905000343,0.0,7271,80.893620996984,True,7271.0,0.0,0.0578978,0.00480088,80,29.134639783010957,115.4566196273582,0.03217821782178218,93118947603.47401,0.16830079940026182
