ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
60,53.7535,6.05609,57.2331,6.84187,18.520419054075052,3.567221098894766,0.19261017196637728,0.086204075022627,0.31862574772425406,0.056610410114813936,30182.8,165870.5769520548,56882.20229208297,86349.6,8759,85.55749443678725,False,,,,,0
61,53.8432,6.3501,58.8751,5.40638,15.140993323276415,5.119631339110269,0.338130479936201,0.08074304231278749,0.3135299891063054,0.05396780168440336,2947.17,118382.26255347775,53564.23119805734,3306.34,7432,82.24673295590132,True,7432.0,3306.34,0.0340014,0.00761114,83
62,53.8629,6.61023,59.4411,5.12531,14.048973820507387,5.772460709818643,0.41088130589243044,0.07736176806805967,0.3127395257031001,0.054681275375639264,2412.37,94143.80204854369,54456.888754918706,4442.42,7209,81.21237768398656,True,7209.0,4442.42,0.030139,0.00750538,373
63,53.9175,6.97963,59.3763,5.2271,11.925962897529914,5.733224122681761,0.4807346938727452,0.0720510367102252,0.3134339665400035,0.05326535966679328,0.0,74605.98517820309,52981.88841527054,461.585,6705,79.51172278910427,True,6705.0,461.585,0.036089,0.0521293,877
64,53.9621,7.27344,57.876,7.15664,6.600678015524272,3.9156424057873296,0.5932182113076943,0.08582040621142063,0.3334630719240138,0.05856121096552752,13067.7,65268.130003093094,29328.0936799099,13132.2,3232,82.42277461740227,True,3232.0,13132.2,-0.00456475,0.0519396,0
65,53.977,7.58418,57.8762,7.79402,6.048304902387137,3.904842309953118,0.6456093687360173,0.08022794197708308,0.3328275458371798,0.05854099909993882,15778.0,49128.68136075949,22986.792836735283,15851.1,3159,82.75738821199704,True,3159.0,15851.1,0.0254761,0.0812016,0
66,54.0068,7.82734,57.8754,7.76175,6.202149072081635,3.8691559813607936,0.6238411776939414,0.08144161623424474,0.3181819762494413,0.057216040174952756,3522.8,50589.78034301607,21706.99464054603,14827.9,3235,85.66023247964607,True,3235.0,14827.9,0.00751878,0.0260272,18
67,51.4771,1.63762,53.807,3.81952,12.429241189559573,3.192040353754947,0.256816993497256,0.0555918453897949,0.23164493170583292,0.04307113383293919,18397.0,64558.90150684932,33883.61820088227,129782.0,8759,98.36825998036754,False,,,,,0
68,51.5875,2.01523,54.7337,4.06497,13.746123950750698,3.7549978039407694,0.27316775386240444,0.06377937545018161,0.296042045980989,0.04640781192835138,42722.9,112045.74721461188,40013.60420674292,189508.0,8759,93.66863666936959,False,,,,,0
69,51.6346,2.1671,55.0443,4.22351,14.384817057317562,3.981818200031238,0.2768070100693902,0.06614815346885534,0.30271672669616395,0.04782293217932614,54762.1,134438.18401826484,42021.81527730738,213147.0,8759,94.09649988413216,False,,,,,0
