Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
110,57.4017,5.93807,-0.151505,0.0672811,104809,No
111,57.4045,5.93364,-0.153415,0.0684872,104899,No
112,57.4074,5.92912,-0.155421,0.0697261,104992,No
113,57.4106,5.92425,-0.167285,0.0772743,105092,No
114,57.4141,5.91898,-0.180859,0.085963,105198,No
115,57.4179,5.91343,-0.194126,0.0945089,105310,No
116,57.4214,5.90825,-0.183075,0.0862341,105422,No
117,57.4245,5.90358,-0.167157,0.0746506,105532,No
118,57.4272,5.89938,-0.151202,0.0631038,105638,No
119,57.4291,5.89506,-0.137352,0.0585531,105644,No
120,57.4306,5.89102,-0.123939,0.0554094,105614,No
121,57.432,5.8874,-0.110527,0.0522792,105582,No
122,57.4334,5.88412,-0.0996322,0.0502829,105549,No
123,57.4346,5.88118,-0.0892247,0.0485117,105514,No
124,57.4358,5.87856,-0.0788033,0.0467406,105477,No
125,57.4369,5.87627,-0.0688168,0.0440395,105438,No
126,57.4379,5.8743,-0.0589142,0.0411532,105397,No
127,57.4387,5.87263,-0.0490105,0.0382686,105356,No
128,57.4395,5.87121,-0.0417439,0.0355845,105314,No
129,57.4402,5.87,-0.0350061,0.0329504,105275,No
130,57.4409,5.86903,-0.0282709,0.0303249,105235,No
131,57.4415,5.86841,-0.0170981,0.0315727,105187,No
132,57.4421,5.86816,-0.00503873,0.033591,105131,No
133,57.4427,5.86829,0.00700968,0.0356058,105064,No
134,57.4433,5.86894,0.0238683,0.0387961,104983,No
135,57.4438,5.87013,0.0416776,0.0422134,104888,No
136,57.4444,5.87185,0.0594747,0.0456205,104778,No
137,57.4448,5.87404,0.0745595,0.0465461,104661,No
138,57.4453,5.87668,0.089096,0.0469983,104535,No
139,57.4456,5.87973,0.103622,0.0474795,104397,No
140,57.446,5.88315,0.116647,0.0497322,104246,No
141,57.4463,5.88696,0.129394,0.0523038,104085,No
142,57.4466,5.89107,0.142168,0.0548363,103914,No
143,57.447,5.89489,0.133468,0.057869,103744,No
144,57.4476,5.8983,0.120482,0.0610116,103575,No
145,57.4482,5.90132,0.107509,0.0641581,103408,No
146,57.449,5.90417,0.102041,0.0687386,103237,No
147,57.4499,5.90687,0.0980865,0.0735961,103058,No
148,57.4508,5.90939,0.0941455,0.0784454,102873,No
149,57.4518,5.91154,0.090752,0.0815064,102673,No
150,57.4529,5.9134,0.0874717,0.0842168,102468,No
151,57.4542,5.91504,0.0841966,0.0869342,102273,No
152,57.4555,5.91646,0.0843174,0.0848092,102058,No
153,57.4567,5.91795,0.085121,0.081724,101845,No
154,57.4579,5.91945,0.085929,0.0786474,101640,No
155,57.4592,5.92074,0.080326,0.0800911,101437,No
156,57.4606,5.92185,0.0734515,0.0824385,101238,No
157,57.4621,5.92279,0.0665891,0.0847866,101047,No
158,57.4635,5.9236,0.060542,0.0824853,100867,No
159,57.465,5.92428,0.054655,0.0792585,100698,No
160,57.4665,5.92484,0.0487662,0.0760377,100538,No
161,57.4681,5.92532,0.0468462,0.0808837,100375,No
162,57.4698,5.92575,0.0457323,0.0873227,100200,No
163,57.4716,5.92609,0.0446318,0.0937403,100023,No
164,57.4736,5.92598,0.0276923,0.101333,99858,No
165,57.4758,5.92539,0.00759468,0.109107,99696.7,No
166,57.478,5.92437,-0.0125108,0.116821,99518.7,No
167,57.4801,5.92306,-0.024478,0.116354,99330.9,No
168,57.4822,5.92145,-0.0348178,0.114275,99151.6,No
169,57.4844,5.91956,-0.0451532,0.112214,98981.8,No
170,57.4864,5.91774,-0.0443653,0.104978,98824.3,No
171,57.4883,5.91604,-0.0413322,0.0967013,98680,No
172,57.4899,5.91449,-0.0382776,0.0884228,98548.5,No
173,57.4915,5.91324,-0.0302417,0.0798419,98427.6,No
174,57.4928,5.9123,-0.0212372,0.0712227,98317,No
175,57.4939,5.91166,-0.0122576,0.0626248,98215.9,No
176,57.495,5.91126,-0.00539734,0.0579255,98119.5,No
177,57.4959,5.91108,0.0010185,0.0540143,98026.3,No
178,57.4967,5.91114,0.00740736,0.0501131,97936.7,No
179,57.4973,5.91173,0.0230117,0.0435432,97850.1,No
180,57.4978,5.9129,0.0404405,0.0364424,97766.4,No
181,57.498,5.91462,0.0578384,0.0293494,97688.2,No
182,57.4979,5.91678,0.0697421,0.0135344,97631.9,No
183,57.4974,5.91935,0.0805613,-0.00400308,97600.5,No
184,57.4966,5.92234,0.0913948,-0.0215096,97594.5,No
185,57.4954,5.92577,0.102788,-0.0398471,97615.2,No
186,57.4938,5.92964,0.11433,-0.0583434,97663,No
187,57.4919,5.93389,0.125926,-0.0768305,97728.5,No
188,57.4892,5.93785,0.123849,-0.084294,97730.4,No
189,57.486,5.94146,0.118989,-0.0895471,97694.8,No
190,57.4828,5.94499,0.114064,-0.0947927,97674.7,No
191,57.4796,5.94831,0.103617,-0.100268,97676.4,No
192,57.4763,5.9514,0.0920556,-0.105703,97700.9,No
193,57.473,5.95425,0.0804757,-0.11104,97747.7,No
194,57.4697,5.95688,0.0699302,-0.11409,97812.6,No
195,57.4664,5.95927,0.0595897,-0.116752,97894.8,No
196,57.4632,5.96145,0.0492439,-0.119477,97992.9,No
197,57.4599,5.96356,0.0452507,-0.121146,98098.9,No
198,57.4567,5.9656,0.0425469,-0.122555,98211,No
199,57.4535,5.96759,0.039863,-0.123919,98328.9,No
200,57.4503,5.96945,0.0351632,-0.123079,98452.2,No
201,57.4472,5.97117,0.0301219,-0.121666,98580.4,No
202,57.4442,5.97275,0.0251475,-0.120113,98712.4,No
203,57.4415,5.97411,0.0190682,-0.113209,98842.9,No
204,57.439,5.97525,0.0127711,-0.105201,98970.3,No
205,57.4367,5.97618,0.00648274,-0.0971514,99094.6,No
206,57.4346,5.97696,0.00260883,-0.0908653,99215.2,No
207,57.4326,5.9776,-0.000821181,-0.085021,99332.1,No
208,57.4308,5.97813,-0.00428862,-0.0792578,99445.9,No
209,57.429,5.97867,-0.00420063,-0.0806868,99561.7,No
210,57.4271,5.97926,-0.00341038,-0.0835613,99680.8,No
211,57.4251,5.97989,-0.00263481,-0.086452,99803.4,No
212,57.423,5.98058,-0.00194035,-0.0909059,99931.5,No
213,57.4208,5.98132,-0.00126604,-0.0956607,100066,No
214,57.4185,5.98212,-0.000598305,-0.100405,100205,No
215,57.4161,5.98306,0.00355113,-0.104017,100345,No
216,57.4135,5.98415,0.00838469,-0.107442,100485,No
217,57.4109,5.9854,0.0132034,-0.110913,100623,No
218,57.4082,5.98679,0.0195556,-0.109518,100752,No
219,57.4056,5.98834,0.0261987,-0.107164,100870,No
220,57.403,5.99005,0.0328216,-0.104832,100979,No
221,57.4003,5.9919,0.0388868,-0.103768,101080,No
222,57.3976,5.9939,0.0448401,-0.10301,101174,No
223,57.3949,5.99606,0.0507895,-0.102314,101260,No
224,57.3923,5.99834,0.0563918,-0.100124,101338,No
225,57.3896,6.00075,0.0619213,-0.0976562,101407,No
226,57.3869,6.00329,0.0674458,-0.0952193,101467,No
227,57.3844,6.0059,0.0718013,-0.0902386,101516,No
228,57.3819,6.00858,0.0759362,-0.0847418,101553,No
229,57.3796,6.01132,0.0800837,-0.079242,101578,No
230,57.3773,6.01413,0.0836028,-0.0737024,101593,No
231,57.3752,6.01698,0.0869972,-0.0681468,101597,No
232,57.3731,6.01989,0.0903702,-0.0625786,101589,No
233,57.3711,6.02288,0.0950144,-0.0562349,101568,No
234,57.3693,6.02595,0.0999018,-0.0497476,101534,No
235,57.3676,6.02911,0.104777,-0.043272,101485,No
236,57.3659,6.03239,0.110068,-0.0383566,101425,No
237,57.3643,6.03578,0.11547,-0.0337586,101353,No
238,57.3628,6.03928,0.120901,-0.029169,101270,No
239,57.3614,6.04282,0.124027,-0.0225034,101174,No
240,57.3601,6.04638,0.126667,-0.0154479,101066,No
241,57.359,6.04997,0.129285,-0.008422,100945,No
242,57.358,6.05359,0.132314,0.000713715,100809,No
243,57.3572,6.05722,0.135435,0.0102425,100655,No
244,57.3566,6.06085,0.138565,0.0197383,100486,No
245,57.3563,6.06431,0.135314,0.0307717,100304,No
246,57.3563,6.06757,0.130874,0.0421309,100110,No
247,57.3565,6.0706,0.126513,0.0535081,99906.6,No
248,57.3568,6.07312,0.108384,0.0543467,99721.3,No
249,57.3573,6.07507,0.0874606,0.0531065,99558.7,No
250,57.3579,6.0765,0.0665054,0.0518831,99417.4,No
251,57.3585,6.07769,0.0565337,0.0471494,99292.8,No
252,57.359,6.07871,0.0487562,0.0417142,99184.1,No
253,57.3594,6.07957,0.0409749,0.036281,99090,No
254,57.3599,6.08035,0.0375306,0.0344368,99002,No
255,57.3603,6.08106,0.0349549,0.0333095,98918.1,No
256,57.3607,6.08172,0.0323801,0.0321819,98837.8,No
257,57.3612,6.08234,0.0314022,0.0333967,98756.6,No
258,57.3617,6.08293,0.0307443,0.0350804,98673.3,No
259,57.3623,6.08349,0.0300877,0.0367654,98587.5,No
260,57.363,6.08401,0.0298583,0.0415999,98494.3,No
261,57.3637,6.08448,0.0297142,0.0470682,98393.1,No
262,57.3646,6.08491,0.0295698,0.0525411,98283.8,No
263,57.3656,6.08529,0.0293979,0.057414,98167.4,No
264,57.3667,6.08564,0.0292237,0.062162,98044,No
265,57.3679,6.08595,0.0290534,0.0669047,97913.8,No
266,57.3692,6.08622,0.0287297,0.0708311,97777.9,No
267,57.3706,6.08646,0.0283759,0.0745912,97636.8,No
268,57.372,6.08664,0.0280233,0.0783471,97490.3,No
269,57.3735,6.08674,0.0257329,0.0819867,97340.9,No
270,57.3752,6.08673,0.0230537,0.0856099,97188.6,No
271,57.3769,6.08662,0.0203729,0.0892412,97033.3,No
272,57.3788,6.08639,0.0174351,0.0943271,96873.1,No
273,57.3808,6.08604,0.0144229,0.0997244,96707.8,No
274,57.3829,6.08557,0.0113834,0.105148,96538.2,No
275,57.385,6.08503,0.009015,0.105488,96370.8,No
276,57.3872,6.08443,0.00677809,0.104808,96207.1,No
277,57.3894,6.08376,0.00453478,0.104126,96046.2,No
278,57.3916,6.08297,0.000665682,0.106491,95885.8,No
