ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2008,4.30033,58.1108,6.56356,22.18727853530649,6.328531427819566,0.2852324325288029,0.07828899478745806,0.30203465233313875,0.05107826162836411,0.0,182768.05173353525,97507.7543702808,0.0,8748,86.60875088087984,True,8748.0,0.0,0.00786199,0.0288879,22
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,0
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,162191.0,8759,95.2901871402193,False,,,,,0
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,0
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,0
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,0
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,0
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,0
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,45332.9,8759,88.14496346226811,False,,,,,0
9,52.3192,4.3583,59.1484,5.28899,19.10117809138424,6.892325914820048,0.36083250372545833,0.07789292603868268,0.30747159662154167,0.05213044424102078,0.0,196951.9334995245,89577.56437768988,0.0,7570,84.41442332276145,True,7570.0,0.0,0.0189315,0.0259912,26
10,52.4736,4.40882,59.3313,5.19555,18.84161407695865,6.902680159394611,0.3663529107007811,0.07718849174407362,0.3002181759754063,0.05185257254368269,0.0,187222.95840631635,92049.35438784935,0.0,7535,83.75035959729689,True,7535.0,0.0,0.072775,0.0690522,46
11,52.5756,4.51779,59.496,5.26084,18.809918528458187,6.960176683281826,0.3700269447074707,0.07363945271326924,0.2882550171167884,0.05227245235241275,0.0,169775.75101195942,96696.72543532724,0.0,7884,83.08576785242744,True,7884.0,0.0,0.018011,-0.00787902,433
12,52.6934,4.51793,59.849,5.09392,18.493586985980063,7.178744725932243,0.38817481602538384,0.07586872126326466,0.2740568417682726,0.052663679252369325,0.0,163567.13663572093,85224.99671314681,0.0,7524,82.12712732258751,True,7524.0,0.0,0.0206861,0.00915654,163
13,52.8569,4.5853,52.9654,4.66988,0.1396635472560346,0.1375718953856486,0.9850236377961133,0.09953499779543383,0.13184567937918937,0.012169181504765769,0.0,7187.318795454544,3921.007230070329,0.0,43,9.795932907802161,True,43.0,0.0,0.0465052,0.109133,14
