ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2008,4.30033,58.0927,6.55955,22.172227008221643,6.31019497467392,0.28459906045225175,0.07831340212432826,0.30203465233313875,0.05108477574351216,1980.57,182872.92047461114,97436.93132461871,1983.2,8743,86.6412222907939,True,8743.0,1983.2,0.0310547,0.0709817,17
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,204997.0,8759,96.1613523162947,False,,,,,0
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,162191.0,8759,95.2901871402193,False,,,,,0
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,139980.0,8759,94.81671454541673,False,,,,,0
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,114163.0,8759,93.14504395085805,False,,,,,0
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,96656.3,8759,91.4543753443397,False,,,,,0
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,82735.5,8759,90.5073213201769,False,,,,,0
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,66416.7,8759,89.24497679599045,False,,,,,0
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,45332.9,8759,88.14496346226811,False,,,,,0
9,52.3192,4.3583,59.1297,5.28208,19.083914403526578,6.872865467794344,0.3601391896058958,0.07792497187243436,0.30747159662154167,0.05213926960750976,1983.83,197108.66569068076,89439.95948951825,1984.02,7564,84.46774315913103,True,7564.0,1984.02,0.0295085,0.045147,20
10,52.4736,4.40882,59.3267,5.17595,18.824487690155976,6.895902264888915,0.36632615869249063,0.07717543702207023,0.3002181759754063,0.05186332077874556,1984.14,187322.6310488582,91972.09490550424,1992.4,7531,83.76915311092631,True,7531.0,1992.4,0.0925911,0.061223,42
11,52.5756,4.51779,59.4548,5.07185,18.533138195027846,6.901476300299811,0.372385735630643,0.07636980862871955,0.2882550171167884,0.051975139986323374,1995.15,178513.88292406246,91122.25091639794,1998.88,7492,83.53133718871022,True,7492.0,1998.88,0.061088,0.0172929,77
12,52.6934,4.51793,59.8417,5.05001,18.44751656244099,7.168075196062056,0.3885658631501763,0.07632281386346194,0.2740568417682726,0.05264960491945235,1998.98,164941.83277137496,84254.81429083637,1999.62,7461,82.37866457521623,True,7461.0,1999.62,0.0151391,-0.00750156,100
13,52.8569,4.5853,52.9471,4.66066,0.11979538549977564,0.11753794961628022,0.9811559028415193,0.09932746860203268,0.13184567937918937,0.012024845326960612,1973.76,7477.370697674419,3599.7133611537115,1974.66,42,29.66635333502216,True,42.0,1974.66,0.0492021,0.101585,13
14,53.0245,4.56854,60.4186,4.87995,17.882120391756537,7.400654768201251,0.41385778677638657,0.07654045329324297,0.27924942661534685,0.05350948969294954,1994.37,144407.3419609202,78211.97547966466,1998.03,7215,81.18456465017454,True,7215.0,1998.03,0.0770799,0.00822743,24
15,53.1617,4.66219,60.5231,4.82684,17.45582842547778,7.363241105824251,0.4218213496574691,0.07764143125281807,0.28333974959048724,0.05366705897437842,1997.53,139777.89763290592,73509.14495917375,1997.53,6940,80.65766811929215,True,6940.0,1997.53,0.0282868,0.020301,22
16,53.2675,4.73766,60.6318,4.77911,17.227616172987112,7.364416649844032,0.42747740464472567,0.07742838018157819,0.2911491067357068,0.05415733813588879,1970.33,131673.79545018182,69611.66999381322,1970.33,6874,79.91302926532424,True,6874.0,1970.33,0.0636973,0.017194,47
17,53.3734,4.84688,60.6469,4.73812,16.857851702730617,7.27431309386667,0.43150890292197697,0.07694850915901888,0.2969356974514853,0.054406969425606265,1959.45,121135.58619807834,67388.57748565762,1961.14,6764,78.61152906715422,True,6764.0,1961.14,0.156479,0.00229342,12
18,53.4386,5.04824,60.5988,4.75112,16.3703700563764,7.166362001350472,0.4377642030492226,0.07549005616096992,0.30114535436728884,0.05402840061898433,1969.06,106945.21873563218,67852.8318230489,1971.38,6698,76.88023771243313,True,6698.0,1971.38,0.0921953,0.0527898,13
19,53.4785,5.23303,60.0342,4.99407,14.427194945773994,6.560053686640074,0.4547005645447136,0.07277529231327551,0.31032836128204594,0.05342507474950791,1990.62,101337.38611601306,67911.56326110403,1992.9,6119,75.41924873219567,True,6119.0,1992.9,0.0104833,0.023461,96
