Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore
115,57.5468,6.00167,-0.184327,0.0961337,88189.1
116,57.5496,5.99613,-0.173126,0.0878406,88404.3
117,57.552,5.9911,-0.157208,0.0764911,88611.8
118,57.5541,5.98658,-0.141252,0.0651787,88809.5
119,57.5561,5.98245,-0.128728,0.0608057,88988.1
120,57.5579,5.97871,-0.116898,0.0578286,89146.1
121,57.5597,5.97535,-0.105071,0.0548634,89228.5
122,57.5614,5.9723,-0.0952636,0.0528173,89182.6
123,57.5631,5.96956,-0.0858447,0.0509522,89080.7
124,57.5646,5.96712,-0.076414,0.0490858,88978.5
125,57.5661,5.96501,-0.0665551,0.0462158,88878.3
126,57.5675,5.96321,-0.0566085,0.0431476,88780.7
127,57.5688,5.96173,-0.0466593,0.0400815,88685.4
128,57.57,5.96048,-0.0394868,0.0368368,88594.8
129,57.5711,5.95944,-0.0328748,0.0335594,88510.2
130,57.572,5.95863,-0.0262671,0.0302842,88428.3
131,57.573,5.95815,-0.0162255,0.0310269,88334.1
132,57.5741,5.95801,-0.00550111,0.0325691,88224.4
133,57.5752,5.95825,0.00520826,0.0341046,88098.1
134,57.5764,5.95902,0.0217299,0.0364924,87947.5
135,57.5777,5.96037,0.0394032,0.0390326,87770.8
136,57.579,5.96228,0.0570632,0.0415495,87570.5
137,57.5804,5.96465,0.0713816,0.0429285,87351.6
138,57.5819,5.96746,0.0849999,0.0441123,87117.2
139,57.5833,5.97071,0.0985795,0.0453349,86866.8
140,57.5849,5.97441,0.112333,0.046565,86600.8
141,57.5864,5.97855,0.126144,0.0477278,86319.8
142,57.588,5.98306,0.139979,0.0488129,86026.5
143,57.5897,5.98727,0.13166,0.051658,85733
144,57.5915,5.99107,0.118937,0.0548737,85429.2
145,57.5934,5.9945,0.106245,0.058098,85109.5
146,57.5955,5.99777,0.101303,0.0627453,84750.1
147,57.5977,6.00093,0.0979333,0.0676739,84330.2
148,57.6,6.00398,0.0945914,0.0726016,83902.4
149,57.6025,6.00693,0.0914206,0.0761032,83474.4
150,57.6051,6.00977,0.0882897,0.0793388,83047.1
151,57.6078,6.01254,0.0851681,0.0825966,82620.4
152,57.6104,6.01532,0.0857317,0.0809706,82196
153,57.6129,6.01814,0.0870405,0.0783815,81774.9
154,57.6154,6.02098,0.0883586,0.0758096,81357.3
155,57.6179,6.02365,0.0832239,0.0772784,80949.7
156,57.6205,6.02612,0.0768138,0.0795493,80553.9
157,57.6231,6.02837,0.0704211,0.0818157,80170.6
158,57.6257,6.03043,0.0644445,0.0795897,79808.9
159,57.6282,6.03231,0.058551,0.076454,79470.5
160,57.6305,6.03401,0.0526743,0.0733305,79151.9
161,57.6331,6.03567,0.0513811,0.0770623,78826.9
162,57.6357,6.03732,0.0510043,0.0820976,78490.8
163,57.6386,6.0389,0.0506279,0.0870571,78148.6
164,57.6416,6.04002,0.0367562,0.0915107,77833.7
165,57.6447,6.04061,0.0203735,0.0957036,77553.1
166,57.6479,6.04069,0.0041806,0.0997083,77306.5
167,57.6512,6.04041,-0.00724538,0.0994164,77092.5
168,57.6544,6.03978,-0.0176941,0.0983234,76909.8
169,57.6575,6.03887,-0.0280941,0.0972702,76691.6
170,57.6604,6.03798,-0.0275532,0.090397,76432.8
171,57.663,6.03718,-0.0249186,0.0824781,76197.2
172,57.6654,6.03647,-0.0223712,0.0746791,75983.4
173,57.6676,6.03593,-0.0172786,0.0681969,75784
174,57.6696,6.03557,-0.0117667,0.0620228,75597.3
175,57.6714,6.03538,-0.00635169,0.0559058,75422.6
176,57.6731,6.03532,-0.00237223,0.0516888,75256.1
177,57.6746,6.03537,0.00133779,0.047817,75097.4
178,57.676,6.03559,0.00505163,0.043917,74945.9
179,57.6771,6.03624,0.0181635,0.036574,74799.5
180,57.678,6.03737,0.0330956,0.0285281,74658.1
181,57.6786,6.03897,0.0479612,0.0204783,74525.7
182,57.6787,6.04094,0.0592882,0.00474025,74430.3
183,57.6782,6.04325,0.0699265,-0.0124713,74377.4
184,57.6772,6.0459,0.0806008,-0.0296059,74367.4
185,57.6756,6.0489,0.0912157,-0.0464984,74398.7
186,57.6735,6.05224,0.101901,-0.0633049,74454.2
187,57.6709,6.05589,0.112704,-0.0800724,74353.9
188,57.668,6.05955,0.11323,-0.0875233,74257.9
189,57.665,6.06316,0.111604,-0.0931548,74183.4
190,57.6617,6.06668,0.109878,-0.0988374,74133.9
191,57.6582,6.06991,0.101005,-0.106734,74131.4
192,57.6545,6.07281,0.0906261,-0.115034,74180.1
193,57.6505,6.07537,0.0801363,-0.123292,74278.6
194,57.6464,6.0776,0.070192,-0.125034,74410
195,57.6423,6.07952,0.0603291,-0.125535,74571.7
196,57.6382,6.08114,0.0504192,-0.1261,74761.9
197,57.634,6.08261,0.0458322,-0.128907,74973.8
198,57.6297,6.08397,0.0423432,-0.132116,75205.2
199,57.6253,6.08521,0.0388855,-0.135279,75457.2
200,57.6208,6.08623,0.0324404,-0.13871,75737.6
201,57.6162,6.08702,0.0254832,-0.14198,76046.4
202,57.6115,6.0876,0.0186397,-0.145,76380.1
203,57.607,6.08795,0.0119824,-0.140801,76721
204,57.6026,6.0881,0.00537212,-0.135078,77064.9
205,57.5984,6.08805,-0.00121711,-0.129252,77408.5
206,57.5945,6.08793,-0.00338056,-0.120547,77735.1
207,57.5909,6.08777,-0.0047477,-0.111441,78041.6
208,57.5876,6.08757,-0.00620035,-0.102496,78330.5
209,57.5843,6.08741,-0.00517721,-0.102465,78617.9
210,57.5809,6.08729,-0.00367492,-0.104233,78907.2
211,57.5774,6.08722,-0.00220043,-0.106034,79199.6
212,57.5738,6.08718,-0.00137747,-0.110242,79502.2
213,57.5701,6.08716,-0.000685349,-0.114914,79816.8
214,57.5662,6.08718,2.18133e-06,-0.119572,80141.2
215,57.5622,6.08735,0.00455041,-0.121513,80460.7
216,57.5582,6.08769,0.00985027,-0.122988,80773.1
217,57.5542,6.08821,0.0151269,-0.124548,81076.6
218,57.5502,6.08894,0.0217554,-0.122146,81359.2
219,57.5464,6.0899,0.0286326,-0.118979,81618.7
220,57.5426,6.09107,0.0354835,-0.115853,81856
221,57.539,6.09243,0.041177,-0.113285,82074.8
222,57.5354,6.09397,0.0466454,-0.110906,82275.9
223,57.5319,6.09568,0.0521155,-0.108614,82459.7
224,57.5285,6.09756,0.0574539,-0.104854,82622.5
225,57.5253,6.09962,0.0627639,-0.100837,82764.3
226,57.5221,6.10184,0.0680712,-0.0968649,82884.8
227,57.5192,6.10417,0.0716307,-0.091695,82985.1
228,57.5164,6.10661,0.074857,-0.0862755,83064.4
229,57.5138,6.10916,0.0780975,-0.0808505,83123
230,57.5114,6.11183,0.0819795,-0.0756899,83160.6
231,57.5091,6.11464,0.0859847,-0.0705751,83176.5
232,57.507,6.11757,0.0899877,-0.0654534,83170.1
233,57.5051,6.12066,0.0947717,-0.0586842,83135.7
234,57.5035,6.12391,0.0997006,-0.0516006,83072
235,57.5021,6.12732,0.104572,-0.0445128,82980.1
236,57.5008,6.13089,0.10936,-0.039941,82867.4
237,57.4996,6.13461,0.114182,-0.0358764,82734.5
238,57.4986,6.13848,0.119053,-0.0318179,82581.4
239,57.4978,6.14246,0.122397,-0.0258304,82405.6
240,57.4972,6.14654,0.125411,-0.0195082,82207.1
241,57.4968,6.15071,0.128405,-0.0132464,81984.7
242,57.4967,6.15499,0.131499,-0.00418388,81730.8
243,57.4969,6.15936,0.134612,0.00540834,81443.7
244,57.4975,6.16382,0.137722,0.0149609,81124.4
245,57.4984,6.16817,0.134859,0.0264803,80777.5
246,57.4997,6.17239,0.130899,0.0383926,80403.8
247,57.5013,6.17644,0.127037,0.050306,80009.9
248,57.503,6.17987,0.108621,0.0521006,79648.1
249,57.5047,6.18261,0.0872935,0.051958,79327.9
250,57.5064,6.1847,0.0659648,0.0518822,79047.8
251,57.5079,6.18648,0.0558484,0.0476949,78799.9
252,57.5092,6.188,0.0479521,0.0426776,78582.1
253,57.5105,6.18929,0.0400375,0.0376594,78392.2
254,57.5116,6.19047,0.0367867,0.0356776,78214.5
255,57.5127,6.19158,0.0344748,0.0342933,78045.6
256,57.5138,6.19262,0.0321675,0.0328994,77883.5
257,57.5149,6.19363,0.0313788,0.0343089,77718.2
258,57.5161,6.19463,0.0308949,0.0362824,77548.3
259,57.5173,6.19561,0.0304133,0.0382593,77371.9
260,57.5188,6.19659,0.030072,0.0435639,77179.1
261,57.5204,6.19755,0.0297553,0.0495443,76968.9
262,57.5222,6.1985,0.0294344,0.0555367,76741.6
263,57.5242,6.19945,0.0293089,0.0597755,76501.8
264,57.5263,6.2004,0.0292253,0.0636478,76249.9
265,57.5285,6.20134,0.0291445,0.0675033,75986.5
266,57.5308,6.20227,0.0288538,0.0710142,75713
267,57.5332,6.2032,0.0285213,0.0744498,75429.9
268,57.5357,6.2041,0.0281893,0.0778759,75137
269,57.5384,6.20494,0.0261644,0.0820663,74835.2
270,57.5412,6.2057,0.0238085,0.0864319,74524.4
271,57.5442,6.20638,0.0214608,0.0908223,74204.5
272,57.5474,6.20695,0.0179445,0.0968289,73873.3
273,57.5507,6.20739,0.0141621,0.103197,73530.4
274,57.5543,6.20772,0.0103413,0.109613,73177.6
275,57.5579,6.20794,0.00738457,0.110143,72829.8
276,57.5614,6.20808,0.00459095,0.109488,72490
277,57.5649,6.20813,0.00178205,0.108832,72156.9
278,57.5686,6.20805,-0.00200354,0.111829,71822.6
279,57.5723,6.20784,-0.00598065,0.11559,71485.7
280,57.5762,6.20749,-0.00995598,0.119388,71146.7
281,57.5802,6.20692,-0.0167603,0.1233,70810.8
282,57.5843,6.20611,-0.024215,0.127268,70479.4
283,57.5886,6.20506,-0.0317671,0.131278,70153.3
284,57.5929,6.20387,-0.0365348,0.132326,69835.7
285,57.5972,6.20253,-0.0407677,0.132806,69527.2
286,57.6015,6.20109,-0.0450371,0.133319,69226.3
287,57.6059,6.19968,-0.0438568,0.136373,68915.8
288,57.6105,6.19835,-0.0415781,0.1399,68592.7
289,57.6151,6.19709,-0.0392947,0.143392,68258.3
290,57.6198,6.1959,-0.0371721,0.144432,67918.8
291,57.6245,6.19478,-0.0350195,0.144992,67575.5
292,57.6292,6.19372,-0.0328408,0.145575,67228.9
293,57.6339,6.19268,-0.0322827,0.145494,66884.2
294,57.6386,6.19165,-0.0320309,0.145238,66542.2
295,57.6433,6.19062,-0.0317594,0.144936,66202.8
296,57.648,6.18956,-0.0326778,0.145746,65865.5
297,57.6528,6.18846,-0.0337475,0.146763,65531
298,57.6576,6.18734,-0.034719,0.147759,65198.1
299,57.6625,6.18622,-0.0346388,0.150412,64859.9
300,57.6674,6.18511,-0.0343506,0.153409,64515.8
301,57.6725,6.18401,-0.0340523,0.156416,64166.4
302,57.6777,6.18293,-0.0332874,0.158885,63811.7
303,57.6829,6.18189,-0.032402,0.161225,63451.9
304,57.6882,6.18088,-0.0314854,0.163541,63085.9
305,57.6936,6.18001,-0.0275614,0.166982,62704.5
306,57.6992,6.17928,-0.0229884,0.170681,62306.3
307,57.7048,6.17866,-0.0183565,0.174413,61892.4
308,57.7108,6.17787,-0.023642,0.181698,61476.4
309,57.7169,6.17683,-0.0310272,0.189765,61062.9
310,57.7233,6.17554,-0.0385397,0.197915,60659
311,57.7294,6.17384,-0.0509186,0.190779,60312
312,57.7352,6.1717,-0.0643374,0.180363,60031.8
313,57.7407,6.16915,-0.0778421,0.169724,59817
314,57.746,6.16631,-0.0866047,0.163385,59647.2
315,57.7511,6.16323,-0.0943176,0.15795,59517.8
316,57.756,6.15989,-0.101935,0.15253,59428
317,57.7609,6.15628,-0.110438,0.151037,59372.2
318,57.7658,6.15239,-0.119106,0.150293,59349.8
319,57.7706,6.14827,-0.127755,0.149514,59360.1
320,57.775,6.14427,-0.12423,0.137507,59395.8
321,57.7789,6.14046,-0.118324,0.123314,59453.7
322,57.7824,6.13685,-0.11247,0.109179,59530.4
323,57.7855,6.13353,-0.103728,0.0980727,59572.1
324,57.7883,6.13052,-0.0944021,0.0875709,59461.2
