ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
0,52.2008,4.30033,58.1162,6.56566,22.193238212223825,6.334325312841138,0.2854169027642055,0.0782121134193222,0.30203465233313875,0.051092585836990875,0.0,182538.54847222602,97661.25026638925,8759,86.55839319304167,False,,,,,33
1,51.2559,2.59457,56.6571,5.37373,20.068546078325912,6.0742647082260115,0.3026758732056945,0.07072529289754792,0.31744909657455317,0.0504903886267892,15165.4,218139.7651712329,82787.84369325811,8759,96.1613523162947,False,,,,,0
2,51.335,2.95569,57.0057,5.55569,20.97418317354748,6.23833619565345,0.29742927979770883,0.07391423702606693,0.33108631136457456,0.052110234860655476,9100.9,233386.74444292235,85140.57716379168,8759,95.2901871402193,False,,,,,0
3,51.4506,3.21597,57.144,5.75237,21.535446393721184,6.23282668778781,0.28942175489824234,0.07588824945381864,0.32755956432595584,0.05309794458933214,10481.5,236245.4664497717,90018.56693367592,8759,94.81671454541673,False,,,,,0
4,51.608,3.3925,57.2622,5.98077,22.291732146417832,6.218449905957274,0.27895768104124413,0.07855295304928044,0.3344422720798912,0.05413218332191621,9139.25,233542.2199280822,80064.11718395201,8759,93.14504395085805,False,,,,,0
5,51.7544,3.54368,57.3366,6.15831,22.79125797208307,6.16419069115322,0.27046294235727203,0.08031322420680129,0.33337903297341603,0.05483473114847457,14089.3,229546.86660958905,74520.45067861724,8759,91.4543753443397,False,,,,,0
6,51.8743,3.7201,57.3963,6.31567,23.1222223571996,6.1015954983020615,0.2638844745994841,0.08148359763552458,0.3285754486577018,0.055208536826375824,15436.0,222953.0797716895,74222.00946726286,8759,90.5073213201769,False,,,,,0
7,51.999,3.88805,57.4925,6.47666,23.364598504741224,6.0728448014172045,0.2599165057420046,0.08234344943687562,0.3119107288472136,0.055064448744221076,8699.89,213889.72304566207,77404.53548394662,8759,89.24497679599045,False,,,,,0
8,52.0817,4.08952,57.6609,6.62677,23.33467669967011,6.129038277127986,0.2626579470550211,0.08224185897457448,0.3037380879063408,0.053913375046688514,9683.89,200347.369369863,83862.08366506519,8759,88.14496346226811,False,,,,,0
9,52.3192,4.3583,58.907,5.62397,19.609268730309804,6.708280658179108,0.34209744128857805,0.0690906756701358,0.30747159662154167,0.053833486776208285,0.0,170334.95640818402,106989.82743037237,8759,83.46583356258789,False,,,,,1215
10,52.4736,4.40882,59.3503,5.47459,19.222238173678676,6.958797926574674,0.3620180888250292,0.06772984607159716,0.3002181759754063,0.05368494696515585,0.0,161118.95865921004,107167.83583553012,8759,81.5680978925856,False,,,,,1270
11,52.5756,4.51779,59.5865,5.32808,19.030949676975542,7.057569602497732,0.3708469478554863,0.06705325869511246,0.2882550171167884,0.053426232320559874,0.0,152817.97369642922,104918.39713743544,8759,81.29685792344942,False,,,,,1308
12,52.6934,4.51793,59.8698,5.12523,18.576404634503252,7.202050419845727,0.3876988341688497,0.06544139067030114,0.2740568417682726,0.05519373007709956,0.0,140518.44408705755,97347.23794146087,8759,81.34757205969252,False,,,,,1398
13,52.8569,4.5853,60.1566,5.12492,18.292706693559552,7.3196181481276685,0.40013860555172737,0.06445785525791803,0.2773525772460029,0.05549697533725933,0.0,127680.9137475582,92591.42267778344,8759,78.33391752923025,False,,,,,1535
14,53.0245,4.56854,60.4982,5.12234,18.181433530034134,7.494190158382686,0.41218917892271484,0.06404812460755509,0.27924942661534685,0.05577983572901004,0.0,119011.57977795889,89741.1506852788,8759,78.93704605621095,False,,,,,1568
15,53.1617,4.66219,60.5575,5.11746,17.92458234623882,7.409799485336963,0.41338756698516815,0.06314291915192115,0.28333974959048724,0.05587299161188141,0.0,110810.7545398299,86508.5372686694,8759,79.08245756312544,False,,,,,1841
16,53.2675,4.73766,60.5763,5.11303,17.73001158541874,7.31843289761545,0.4127709032990238,0.0624508867857566,0.2911491067357068,0.05613609479894388,0.0,103393.03437769634,81978.32871295798,8759,79.62651839812912,False,,,,,1932
17,53.3734,4.84688,60.6104,5.1002,17.433111622991703,7.241432180335602,0.4153838016378683,0.06141341487311479,0.2969356974514853,0.056140172911141144,0.0,93714.56101965852,77827.35020002555,8759,79.94523509561105,False,,,,,1991
18,53.4386,5.04824,60.5912,5.1146,16.91113023087839,7.152907828960191,0.422970418375677,0.05956639393814542,0.30114535436728884,0.05575742642277661,0.0,81880.83335362421,74585.44251542373,8759,77.96277534831026,False,,,,,2074
19,53.4785,5.23303,60.5849,5.11998,16.2781361181029,7.10729915386288,0.4366162748792142,0.0573321171956321,0.31032836128204594,0.055352744191007705,0.0,72535.7422923081,72068.5244340561,8759,75.43965444928973,False,,,,,2231
20,53.5034,5.42622,60.566,5.12336,15.498567575007051,7.0690906727527585,0.4561125174014375,0.054588171183011736,0.31532018475511525,0.05501903599314281,0.0,64655.12896834703,69320.29806788127,8759,72.85951438196408,False,,,,,2714
21,53.5185,5.61923,60.4258,5.12494,14.686071560531065,6.924963241353703,0.4715327181139848,0.051737884963805415,0.31753028865290944,0.05486642351654053,0.0,58684.26845817123,66525.13109959722,8759,70.13998999447666,False,,,,,3187
