ParticleID,Start Latitude,Start Longitude,End Latitude,End Longitude,Total Distance,Net Displacement,Straightness Index,Average Velocity,Max Velocity,Velocity Std Dev,Min Distance to Shore,Avg Distance to Shore,Shore Distance Std Dev,Final Distance to Shore,Total Time Steps,Direction Change Std Dev,Beached,Beaching Time Step,Beaching Distance,VelocityU at Beaching,VelocityV at Beaching,Time in Coastal Zone (steps)
83,53.6888,4.53483,60.877,4.66122,16.92414834857592,7.189311070756365,0.42479603243145225,0.07779917475452093,0.30049480026283315,0.055260038580770186,1713.35,125274.10621399178,69822.59972712919,6041.83,6803,78.45926873055812,True,6803.0,6041.83,-0.0206142,0.0677939,35
84,53.7386,4.83705,60.8752,4.678,16.48774309236063,7.1383721157207844,0.432950227070693,0.07639319826975986,0.3121192064788708,0.05470139752094742,64.1845,105263.5536240207,69694.13129194856,4807.16,6764,76.66854627401167,True,6764.0,4807.16,0.164637,0.0213722,92
85,53.7635,5.13089,60.1064,4.87526,14.070147678837838,6.348049078803661,0.45117146057759044,0.07845514157784379,0.3192319010781974,0.05378930966568838,0.0,104060.27714382559,65764.79700732333,15504.6,5606,76.65272048120167,True,5606.0,15504.6,0.010226,0.027221,103
86,53.8033,5.41634,59.8751,4.90813,13.403074532193905,6.093031482283679,0.4545995374157134,0.07916271114764269,0.3279886733547364,0.05450408956793223,349.894,93895.49250974825,64086.6485947391,17049.9,5282,75.37919474448482,True,5282.0,17049.9,0.00542639,0.0115695,214
87,53.868,5.71861,59.8754,4.92217,13.049377542123375,6.059964639632805,0.46438725679222986,0.07813826076795309,0.3270587353320501,0.05511370169968559,526.989,78269.9322331567,64198.13865982431,15498.6,5283,76.09270187695186,True,5283.0,15498.6,0.00873141,0.0116336,438
88,53.9284,6.0139,58.8754,5.46503,10.072009221974904,4.977355450126097,0.4941770147774095,0.08357992874180317,0.33479811051587494,0.05982369765577957,0.0,79972.45843474104,68981.56434610402,2479.78,3764,74.71087680402277,True,3764.0,2479.78,-0.0140481,0.0128575,293
89,54.0127,6.29942,58.1286,6.198,6.94190395358437,4.117149356824448,0.5930864766140428,0.0979066755904806,0.34373356637081576,0.06371207790819873,9986.71,95417.39217874611,76373.97671431315,21939.5,2248,67.55853649806181,True,2248.0,21939.5,-0.111019,0.130612,0
90,54.0176,6.57653,58.2834,6.12558,5.65777782524285,4.289569388936376,0.7581721165857646,0.10572195358628193,0.34847402888163703,0.06743990203341944,6344.46,106488.19216587112,72237.69536700065,7452.31,1675,56.10151979447395,True,1675.0,7452.31,0.0192464,-0.0476218,0
91,54.0622,6.84525,58.126,6.26897,5.220827760842286,4.104457220924589,0.7861698199870146,0.1252556195273484,0.3472043668345777,0.060510658847986974,18759.8,114565.27232610321,53815.998597137244,19092.9,1336,51.61815437848297,True,1336.0,19092.9,-0.0688071,0.0966889,0
92,54.0869,7.11397,58.0297,6.65278,5.807953874653535,3.9696811025698255,0.683490466391941,0.0849262301050844,0.3569603562932444,0.06633659245193203,4362.27,60623.238205816546,57140.79142310393,4588.42,2234,69.46961183967602,True,2234.0,4588.42,0.0184278,0.0374131,473
93,54.1511,7.685,57.8757,7.3225,4.728835031017356,3.7421987400457524,0.7913574306356507,0.1193290593013784,0.36156672975952864,0.06127674550943932,13291.0,60447.36260938744,30927.23577589019,13616.7,1256,52.1901996593685,True,1256.0,13616.7,0.00800354,0.0220358,0
94,54.1067,7.39947,57.8763,6.93737,4.831802057420358,3.797817869514023,0.7860044398303917,0.12332663855761239,0.3597100049887409,0.06150792543859305,14304.5,82550.30159872104,38571.90141074839,14531.2,1250,52.32027500628505,True,1250.0,14531.2,-0.0273548,0.0603438,0
95,51.7862,1.78077,52.3765,1.86971,1.027061289644239,0.5969626567885121,0.5812337226683837,0.04706076851280618,0.17019346610090527,0.037361382440779904,15521.5,30647.944547872343,9893.735929528635,16103.0,751,86.99047772112858,True,751.0,16103.0,0.00513406,0.054464,0
96,51.9217,2.16715,57.183,5.26485,21.34095662005545,6.105491215291361,0.2860926679150664,0.07520835893890777,0.33051009769429135,0.05231444816786019,37823.2,259946.36043378996,96580.96945921023,154498.0,8759,94.49339625062943,False,,,,,0
97,52.0204,2.46944,57.332,5.54625,22.325098203391914,6.138391836311851,0.27495475183975804,0.07867168281269162,0.3402883535733922,0.05380482245683012,74344.5,269627.98539954337,88243.80969885933,127667.0,8759,93.0933487216882,False,,,,,0
98,52.1498,2.63736,57.4106,5.73623,22.86099274152826,6.105654094108184,0.2670773821215964,0.08056312354392045,0.338943136177737,0.054755242476667486,97862.1,267684.7863242009,83961.0892731794,113146.0,8759,91.94558749200822,False,,,,,0
99,52.284,2.81366,57.4976,5.94587,23.261805340409925,6.0821348590852535,0.261464437952264,0.08197881456415736,0.33382571167601816,0.05521585323358237,85748.4,261318.55417808218,83711.27520069087,96437.7,8759,90.79915739599451,False,,,,,0
100,57.1611,6.00426,58.8759,5.50261,2.7176761531581106,1.7866705802973346,0.657425859303034,0.09725845817410697,0.27207736471268607,0.0512237424101238,0.0,37000.19573111782,37940.862518387796,4300.73,992,65.69901785463092,True,992.0,4300.73,-0.0265127,0.0281373,388
101,50.2682,-2.3109,50.6256,-2.03218,0.604115398367695,0.4532323889573637,0.7502414111310297,0.023511230991254278,0.18060021155480413,0.02951755675930216,0.0,5991.519321853147,5984.639970317003,0.0,1143,80.04464106560462,True,1143.0,0.0,0.0159315,0.0217603,710
102,50.2864,-1.46995,50.6258,-1.1503,0.5894191287802583,0.4662279297725507,0.7909955870237212,0.02830617352751174,0.16122450462163002,0.032373431733207184,368.908,4166.886860238353,6202.628432239135,2149.27,922,82.83610939374995,True,922.0,2149.27,0.0259624,0.0206741,787
103,50.3761,-0.460533,50.6281,-0.306315,0.32901022232711935,0.29544405819715047,0.8979783549199404,0.09230381331561148,0.17128367880288536,0.04446966588244119,20804.6,29411.915972222225,9736.609326872918,20804.6,143,64.02516393266056,True,143.0,20804.6,0.0492593,0.0967222,0
104,50.5015,0.464854,50.8753,0.70912,0.5191048775669814,0.44653367034973085,0.860199334752183,0.022994856881710834,0.17827990591092985,0.03343472515240786,2515.48,6660.755650557621,7485.815471715224,2780.44,806,74.48654825961401,True,806.0,2780.44,0.0117369,0.0113115,630
