Step,Latitude,Longitude,VelocityU,VelocityV,DistanceToShore,Beached
110,57.2695,5.85023,-0.164166,0.0674783,122305,No
111,57.273,5.84612,-0.16311,0.066124,122305,No
112,57.2765,5.84201,-0.16218,0.0647931,122305,No
113,57.2804,5.8376,-0.17335,0.0724327,122305,No
114,57.2846,5.83282,-0.186643,0.0817555,122305,No
115,57.289,5.82777,-0.199592,0.0909477,122305,No
116,57.2932,5.82308,-0.188643,0.0830808,122307,No
117,57.2958,5.81777,-0.172913,0.0718175,122304,No
118,57.2973,5.81261,-0.157135,0.0605922,122304,No
119,57.2987,5.80793,-0.142432,0.0559875,122304,No
120,57.3,5.80372,-0.127975,0.0527111,122304,No
121,57.3012,5.79995,-0.11354,0.0494449,122304,No
122,57.3022,5.79656,-0.101742,0.0473995,122304,No
123,57.3032,5.79351,-0.0904673,0.0455939,122304,No
124,57.3041,5.79081,-0.0791917,0.0437859,122304,No
125,57.3048,5.78843,-0.0693063,0.0411989,122304,No
126,57.3055,5.78635,-0.0597065,0.0384611,122304,No
127,57.3061,5.78457,-0.050114,0.0357279,122304,No
128,57.3066,5.78302,-0.0427968,0.0338335,122304,No
129,57.307,5.78169,-0.0359327,0.0321179,122304,No
130,57.3074,5.78059,-0.0290681,0.0304122,122304,No
131,57.3077,5.77982,-0.0169084,0.0321801,122304,No
132,57.3078,5.77943,-0.00368711,0.0346398,122304,No
133,57.3078,5.7794,0.00952931,0.0370985,122304,No
134,57.3076,5.77984,0.0267277,0.0409689,122304,No
135,57.3073,5.78077,0.0447141,0.0451243,122304,No
136,57.3069,5.78218,0.0626925,0.0492848,122304,No
137,57.3063,5.78404,0.0781437,0.0498137,122304,No
138,57.3055,5.78635,0.0930863,0.0496354,122304,No
139,57.3046,5.78909,0.108027,0.0494837,122304,No
140,57.3036,5.79215,0.119815,0.0525259,122304,No
141,57.3026,5.79552,0.130996,0.0561863,122305,No
142,57.3014,5.79912,0.14221,0.059824,122304,No
143,57.3004,5.80244,0.133646,0.0632158,122304,No
144,57.2995,5.80537,0.121128,0.0665896,122304,No
145,57.2987,5.80793,0.108615,0.0699883,122304,No
146,57.298,5.81028,0.102535,0.074661,122304,No
147,57.2974,5.81246,0.0977442,0.07956,122304,No
148,57.2968,5.81446,0.0929559,0.084434,122304,No
149,57.2962,5.81635,0.0894184,0.0870577,122304,No
150,57.2957,5.81812,0.0861318,0.0892286,122305,No
151,57.2952,5.81954,0.0828454,0.0913957,122304,No
152,57.2947,5.82065,0.0824303,0.0887259,122304,No
153,57.2941,5.82165,0.0825814,0.0850833,122305,No
154,57.2937,5.82245,0.0827255,0.0814352,122306,No
155,57.2934,5.82281,0.0766934,0.0825919,122308,No
156,57.2933,5.8229,0.0694314,0.0847104,122309,No
157,57.2934,5.82281,0.062173,0.086828,122309,No
158,57.2935,5.82268,0.056177,0.0846517,122307,No
159,57.2936,5.82253,0.0504329,0.0816182,122307,No
160,57.2937,5.82234,0.0446885,0.078587,122306,No
161,57.2939,5.8221,0.0419847,0.0840599,122305,No
162,57.2941,5.82179,0.0398892,0.0912377,122305,No
163,57.2943,5.82133,0.0377936,0.0984235,122304,No
164,57.2948,5.82035,0.0194221,0.107908,122304,No
165,57.2954,5.81883,-0.0022525,0.117828,122307,No
166,57.296,5.81692,-0.023997,0.12771,122304,No
167,57.2967,5.81477,-0.0343996,0.126289,122304,No
168,57.2974,5.81239,-0.0424789,0.122598,122304,No
169,57.2981,5.80984,-0.0504988,0.118891,122304,No
170,57.2989,5.8074,-0.0492431,0.112099,122304,No
